2023-07-28 23:49:55.936  INFO 12104 --- [main] tologySpringBootCourseProjectApplication : Starting NetologySpringBootCourseProjectApplication using Java 11.0.17 on DESKTOP-B0FQ2IR with PID 12104 (C:\Users\Lolipop\IdeaProjects\SpringBoot\Cource_SpringBoot_My\target\classes started by Lolipop in C:\Users\Lolipop\IdeaProjects\SpringBoot\Cource_SpringBoot_My)
2023-07-28 23:49:55.940  INFO 12104 --- [main] tologySpringBootCourseProjectApplication : No active profile set, falling back to 1 default profile: "default"
2023-07-28 23:52:28.474  INFO 12104 --- [http-nio-8080-exec-8] r.n.n.log.TransferLog                    : Комиссия за перевод: 5000000RUR
2023-07-28 23:52:28.474  INFO 12104 --- [http-nio-8080-exec-8] r.n.n.log.TransferLog                    : Общая сумма списания: 505000000RUR
2023-07-28 23:52:28.474  INFO 12104 --- [http-nio-8080-exec-8] r.n.n.log.TransferLog                    : Остаток по карте: 100000000
2023-07-28 23:52:28.474  INFO 12104 --- [http-nio-8080-exec-8] r.n.n.log.TransferLog                    : Результат операции: The operation is impossible. Low balance. Amount requested for transfer: 505000000 RUR. Funds available: 100000000 RUR
2023-07-28 23:52:28.474 ERROR 12104 --- [http-nio-8080-exec-8] r.n.n.service.TransferServiceImpl        : Low balance.
2023-07-28 23:52:29.570  INFO 12104 --- [http-nio-8080-exec-9] r.n.n.log.TransferLog                    : ---------------------
2023-07-28 23:52:29.571  INFO 12104 --- [http-nio-8080-exec-9] r.n.n.log.TransferLog                    : Операция в системе: 4
2023-07-28 23:52:29.571  INFO 12104 --- [http-nio-8080-exec-9] r.n.n.log.TransferLog                    : Операция по карте: 4
2023-07-28 23:52:29.571  INFO 12104 --- [http-nio-8080-exec-9] r.n.n.log.TransferLog                    : Номер карты списания: 4558445885582478
2023-07-28 23:52:29.571  INFO 12104 --- [http-nio-8080-exec-9] r.n.n.log.TransferLog                    : Номер карты зачисления: 455844588558247
2023-07-28 23:52:29.572  INFO 12104 --- [http-nio-8080-exec-9] r.n.n.log.TransferLog                    : Сумма списания: 500000000RUR
2023-07-28 23:52:29.572  INFO 12104 --- [http-nio-8080-exec-9] r.n.n.log.TransferLog                    : Комиссия за перевод: 5000000RUR
2023-07-28 23:52:29.572  INFO 12104 --- [http-nio-8080-exec-9] r.n.n.log.TransferLog                    : Общая сумма списания: 505000000RUR
2023-07-28 23:52:29.572  INFO 12104 --- [http-nio-8080-exec-9] r.n.n.log.TransferLog                    : Остаток по карте: 100000000
2023-07-28 23:52:29.572  INFO 12104 --- [http-nio-8080-exec-9] r.n.n.log.TransferLog                    : Результат операции: The operation is impossible. Low balance. Amount requested for transfer: 505000000 RUR. Funds available: 100000000 RUR
2023-07-28 23:52:29.573 ERROR 12104 --- [http-nio-8080-exec-9] r.n.n.service.TransferServiceImpl        : Low balance.
2023-07-28 23:52:36.949  INFO 12104 --- [http-nio-8080-exec-2] r.n.n.log.TransferLog                    : ---------------------
2023-07-28 23:52:36.950  INFO 12104 --- [http-nio-8080-exec-2] r.n.n.log.TransferLog                    : Операция в системе: 5
2023-07-28 23:52:36.950  INFO 12104 --- [http-nio-8080-exec-2] r.n.n.log.TransferLog                    : Операция по карте: 5
2023-07-28 23:52:36.950  INFO 12104 --- [http-nio-8080-exec-2] r.n.n.log.TransferLog                    : Номер карты списания: 4558445885582478
2023-07-28 23:52:36.950  INFO 12104 --- [http-nio-8080-exec-2] r.n.n.log.TransferLog                    : Номер карты зачисления: 455844588558247
2023-07-28 23:52:36.950  INFO 12104 --- [http-nio-8080-exec-2] r.n.n.log.TransferLog                    : Сумма списания: 50000000RUR
2023-07-28 23:52:36.951  INFO 12104 --- [http-nio-8080-exec-2] r.n.n.log.TransferLog                    : Комиссия за перевод: 500000RUR
2023-07-28 23:52:36.951  INFO 12104 --- [http-nio-8080-exec-2] r.n.n.log.TransferLog                    : Общая сумма списания: 50500000RUR
2023-07-28 23:52:36.951  INFO 12104 --- [http-nio-8080-exec-2] r.n.n.log.TransferLog                    : Остаток по карте: 49500000
2023-07-28 23:52:36.951  INFO 12104 --- [http-nio-8080-exec-2] r.n.n.log.TransferLog                    : Результат операции: The operation was successful.
2023-07-28 23:52:38.641  INFO 12104 --- [http-nio-8080-exec-3] r.n.n.log.TransferLog                    : ---------------------
2023-07-28 23:52:38.641  INFO 12104 --- [http-nio-8080-exec-3] r.n.n.log.TransferLog                    : Операция в системе: 6
2023-07-28 23:52:38.641  INFO 12104 --- [http-nio-8080-exec-3] r.n.n.log.TransferLog                    : Операция по карте: 6
2023-07-28 23:52:38.642  INFO 12104 --- [http-nio-8080-exec-3] r.n.n.log.TransferLog                    : Номер карты списания: 4558445885582478
2023-07-28 23:52:38.642  INFO 12104 --- [http-nio-8080-exec-3] r.n.n.log.TransferLog                    : Номер карты зачисления: 455844588558247
2023-07-28 23:52:38.642  INFO 12104 --- [http-nio-8080-exec-3] r.n.n.log.TransferLog                    : Сумма списания: 50000000RUR
2023-07-28 23:52:38.642  INFO 12104 --- [http-nio-8080-exec-3] r.n.n.log.TransferLog                    : Комиссия за перевод: 500000RUR
2023-07-28 23:52:38.642  INFO 12104 --- [http-nio-8080-exec-3] r.n.n.log.TransferLog                    : Общая сумма списания: 50500000RUR
2023-07-28 23:52:38.642  INFO 12104 --- [http-nio-8080-exec-3] r.n.n.log.TransferLog                    : Остаток по карте: 49500000
2023-07-28 23:52:38.643  INFO 12104 --- [http-nio-8080-exec-3] r.n.n.log.TransferLog                    : Результат операции: The operation is impossible. Low balance. Amount requested for transfer: 50500000 RUR. Funds available: 49500000 RUR
2023-07-28 23:52:38.643 ERROR 12104 --- [http-nio-8080-exec-3] r.n.n.service.TransferServiceImpl        : Low balance.
2023-07-28 23:52:49.951  INFO 12104 --- [http-nio-8080-exec-5] r.n.n.log.TransferLog                    : ---------------------
2023-07-28 23:52:49.952  INFO 12104 --- [http-nio-8080-exec-5] r.n.n.log.TransferLog                    : Операция в системе: 7
2023-07-28 23:52:49.952  INFO 12104 --- [http-nio-8080-exec-5] r.n.n.log.TransferLog                    : Операция по карте: 7
2023-07-28 23:52:49.952  INFO 12104 --- [http-nio-8080-exec-5] r.n.n.log.TransferLog                    : Номер карты списания: 4558445885582478
2023-07-28 23:52:49.952  INFO 12104 --- [http-nio-8080-exec-5] r.n.n.log.TransferLog                    : Номер карты зачисления: 455844588558247
2023-07-28 23:52:49.952  INFO 12104 --- [http-nio-8080-exec-5] r.n.n.log.TransferLog                    : Сумма списания: 50000000RUR
2023-07-28 23:52:49.952  INFO 12104 --- [http-nio-8080-exec-5] r.n.n.log.TransferLog                    : Комиссия за перевод: 500000RUR
2023-07-28 23:52:49.952  INFO 12104 --- [http-nio-8080-exec-5] r.n.n.log.TransferLog                    : Общая сумма списания: 50500000RUR
2023-07-28 23:52:49.952  INFO 12104 --- [http-nio-8080-exec-5] r.n.n.log.TransferLog                    : Остаток по карте: 49500000
2023-07-28 23:52:49.953  INFO 12104 --- [http-nio-8080-exec-5] r.n.n.log.TransferLog                    : Результат операции: The operation is impossible. Low balance. Amount requested for transfer: 50500000 RUR. Funds available: 49500000 RUR
2023-07-28 23:52:49.953 ERROR 12104 --- [http-nio-8080-exec-5] r.n.n.service.TransferServiceImpl        : Low balance.
2023-07-28 23:52:54.775  INFO 12104 --- [http-nio-8080-exec-7] r.n.n.log.TransferLog                    : ---------------------
2023-07-28 23:52:54.775  INFO 12104 --- [http-nio-8080-exec-7] r.n.n.log.TransferLog                    : Операция в системе: 8
2023-07-28 23:52:54.775  INFO 12104 --- [http-nio-8080-exec-7] r.n.n.log.TransferLog                    : Операция по карте: 8
2023-07-28 23:52:54.776  INFO 12104 --- [http-nio-8080-exec-7] r.n.n.log.TransferLog                    : Номер карты списания: 4558445885582478
2023-07-28 23:52:54.776  INFO 12104 --- [http-nio-8080-exec-7] r.n.n.log.TransferLog                    : Номер карты зачисления: 455844588558247
2023-07-28 23:52:54.776  INFO 12104 --- [http-nio-8080-exec-7] r.n.n.log.TransferLog                    : Сумма списания: 5000000RUR
2023-07-28 23:52:54.776  INFO 12104 --- [http-nio-8080-exec-7] r.n.n.log.TransferLog                    : Комиссия за перевод: 50000RUR
2023-07-28 23:52:54.776  INFO 12104 --- [http-nio-8080-exec-7] r.n.n.log.TransferLog                    : Общая сумма списания: 5050000RUR
2023-07-28 23:52:54.776  INFO 12104 --- [http-nio-8080-exec-7] r.n.n.log.TransferLog                    : Остаток по карте: 44450000
2023-07-28 23:52:54.776  INFO 12104 --- [http-nio-8080-exec-7] r.n.n.log.TransferLog                    : Результат операции: The operation was successful.
2023-07-28 23:52:55.596  INFO 12104 --- [http-nio-8080-exec-8] r.n.n.log.TransferLog                    : ---------------------
